Co,Fe,Mn,V,Cu,target
0.3,0.1,0.1,0.2,0.3,0.5427142470938091
0.3,0.1,0.1,0.3,0.2,1.8098233728526496
0.2,0.1,0.1,0.3,0.3,0.497479311328831
0.3,0.2,0.1,0.1,0.3,0.47582319786413524
0.3,0.2,0.1,0.2,0.2,0.6432941176470588
0.3,0.2,0.1,0.3,0.1,0.8550034036759702
0.2,0.2,0.1,0.3,0.2,0.6446886446886447
0.3,0.3,0.1,0.1,0.2,0.32729027016047124
0.1,0.3,0.1,0.3,0.2,0.282511424219345
0.3,0.1,0.2,0.1,0.3,0.48946135831381726
0.3,0.1,0.2,0.2,0.2,0.7500515145270967
0.2,0.1,0.2,0.2,0.3,0.6133748492900538
0.3,0.1,0.2,0.3,0.1,6.177768438747636
0.2,0.1,0.2,0.3,0.2,0.719194201261414
0.1,0.1,0.2,0.3,0.3,0.6117886178861788
0.3,0.2,0.2,0.1,0.2,0.46388570420672015
0.2,0.2,0.2,0.1,0.3,0.6462440063931807
0.3,0.2,0.2,0.2,0.1,0.6084496416446623
0.2,0.2,0.2,0.2,0.2,1.1942809083263246
0.2,0.2,0.2,0.3,0.1,0.8947368421052632
0.3,0.3,0.2,0.1,0.1,0.3146496815286624
0.2,0.3,0.2,0.1,0.2,0.1585472761427677
0.1,0.3,0.2,0.1,0.3,0.2260403073800203
0.1,0.3,0.2,0.2,0.2,0.39051646028390213
0.3,0.1,0.3,0.1,0.2,0.24400194269062653
0.2,0.1,0.3,0.1,0.3,0.15441407477222746
0.3,0.1,0.3,0.2,0.1,0.36051308131321697
0.2,0.1,0.3,0.2,0.2,0.4710564399421129
0.1,0.1,0.3,0.2,0.3,0.47915960101919247
0.2,0.1,0.3,0.3,0.1,1.0504854368932037
0.1,0.1,0.3,0.3,0.2,0.5781512605042016
0.2,0.2,0.3,0.1,0.2,0.2807017543859649
0.1,0.2,0.3,0.1,0.3,0.4383834980162073
0.2,0.2,0.3,0.2,0.1,0.48067050005134
0.1,0.2,0.3,0.2,0.2,0.5462962962962963
0.1,0.3,0.3,0.1,0.2,0.2154796511627907
0.3,0.15,0.15,0.25,0.15,2.896551724137931
0.2,0.1,0.15,0.3,0.25,7.909909909909909
0.3,0.25,0.25,0.1,0.1,0.5
0.15,0.15,0.25,0.25,0.2,3.171232876712329
0.2,0.2,0.25,0.15,0.2,0.49033724895793857
0.1,0.3,0.2,0.15,0.25,0.13486005089058523
0.3,0.15,0.1,0.2,0.25,1.1724530449630053
0.15,0.3,0.2,0.2,0.15,0.28277323645171054
0.3,0.15,0.25,0.1,0.2,0.12779973649538867
0.15,0.3,0.25,0.1,0.2,0.5323984526112185
0.25,0.15,0.25,0.2,0.15,1.147985347985348
0.2,0.25,0.25,0.1,0.2,0.5990734141126158
0.25,0.25,0.25,0.15,0.1,1.1650793650793652
0.25,0.1,0.25,0.15,0.25,0.7888402625820569
0.2,0.2,0.25,0.2,0.15,0.7559681697612731
0.15,0.1,0.25,0.2,0.3,0.7458920187793429
0.25,0.1,0.25,0.3,0.1,3.4060606060606062
0.2,0.25,0.15,0.25,0.15,1.2929078014184399
0.15,0.2,0.25,0.25,0.15,1.7329700272479562
0.3,0.1,0.25,0.1,0.25,0.7509238728750924
0.3,0.15,0.25,0.15,0.15,0.9687814702920443
0.3,0.25,0.2,0.15,0.1,1.7518684603886399
0.15,0.25,0.15,0.3,0.15,0.5951843491346878
0.15,0.2,0.25,0.1,0.3,0.3537225826382453
0.15,0.15,0.2,0.2,0.3,1.4748387096774194
0.1,0.1,0.25,0.3,0.25,0.3395504543280727
0.3,0.25,0.15,0.1,0.2,0.6574923547400612
0.15,0.25,0.25,0.15,0.2,1.0319465081723624
0.3,0.1,0.15,0.25,0.2,2.8134556574923546
0.25,0.2,0.15,0.2,0.2,2.1714285714285713
0.25,0.1,0.2,0.25,0.2,0.36597374179431075
0.15,0.3,0.15,0.1,0.3,0.13209530483531887
0.3,0.1,0.15,0.15,0.3,0.06148234987625374
0.25,0.2,0.1,0.2,0.25,0.6059774321439464
0.2,0.15,0.1,0.3,0.25,0.8903993203058624
0.3,0.2,0.1,0.15,0.25,0.06605427974947808
0.1,0.3,0.25,0.25,0.1,0.17521902377972465
0.25,0.3,0.1,0.1,0.25,0.3173076923076923
0.2,0.2,0.25,0.25,0.1,0.4527363184079602
0.25,0.15,0.2,0.25,0.15,0.9351032448377581
0.1,0.15,0.25,0.3,0.2,0.5761173184357542
0.25,0.1,0.2,0.3,0.15,0.7798319327731091
0.25,0.15,0.2,0.15,0.25,0.3014264264264264
0.1,0.3,0.2,0.25,0.15,0.3792421746293245
0.2,0.3,0.15,0.1,0.25,0.2558764271323036
0.25,0.15,0.15,0.15,0.3,0.42061679040548255
0.2,0.15,0.2,0.2,0.25,0.8487530168946099
0.2,0.15,0.1,0.25,0.3,0.6609748525302701
0.2,0.3,0.15,0.15,0.2,0.4495770982433312
0.25,0.1,0.2,0.15,0.3,0.5170842824601367
0.15,0.25,0.2,0.2,0.2,0.4231448763250883
0.2,0.3,0.25,0.15,0.1,0.27746243739565946
0.3,0.1,0.1,0.25,0.25,0.10542476970317298
0.2,0.1,0.25,0.3,0.15,0.2671232876712329
0.15,0.1,0.2,0.25,0.3,0.16998274870615296
0.25,0.2,0.15,0.15,0.25,0.250852079072938
0.15,0.15,0.25,0.15,0.3,0.13369775651975857
0.3,0.25,0.1,0.25,0.1,0.3676614481409002
0.25,0.25,0.15,0.1,0.25,0.28010744664975373
0.25,0.15,0.1,0.25,0.25,0.32319255547602
0.2,0.25,0.25,0.2,0.1,0.3014225297962322
0.1,0.25,0.25,0.15,0.25,0.1333041958041958
0.2,0.1,0.25,0.25,0.2,0.49815108293713684
0.2,0.15,0.15,0.2,0.3,0.1763465593252827
0.2,0.2,0.1,0.2,0.3,0.5964
0.1,0.2,0.1,0.3,0.3,0.98923
0.2,0.3,0.1,0.1,0.3,0.54162
0.3,0.3,0.1,0.2,0.1,0.7783
0.2,0.3,0.1,0.2,0.2,0.50529
0.1,0.3,0.1,0.2,0.3,0.45798
0.2,0.3,0.1,0.3,0.1,0.3397
0.1,0.2,0.2,0.2,0.3,0.47375
0.1,0.2,0.2,0.3,0.2,0.39771
0.2,0.3,0.2,0.2,0.1,0.3861
0.1,0.3,0.2,0.3,0.1,0.47543
0.3,0.2,0.3,0.1,0.1,0.31463
0.1,0.2,0.3,0.3,0.1,0.73077
0.2,0.3,0.3,0.1,0.1,0.28874
0.1,0.3,0.3,0.2,0.1,0.52512
0.25,0.25,0.1,0.25,0.15,1.14938
0.15,0.3,0.15,0.3,0.1,0.47555
0.1,0.25,0.15,0.25,0.25,0.41721
0.1,0.25,0.15,0.3,0.2,0.6346
0.25,0.3,0.15,0.15,0.15,0.43725
0.25,0.2,0.1,0.25,0.2,1.5621
0.2,0.3,0.15,0.2,0.15,0.5498
0.25,0.3,0.1,0.25,0.1,0.81294
0.2,0.2,0.15,0.25,0.2,0.39871
0.15,0.25,0.2,0.3,0.1,0.54142
0.25,0.3,0.2,0.15,0.1,0.21009
0.15,0.3,0.1,0.15,0.3,0.5607
0.1,0.25,0.25,0.25,0.15,0.66539
0.2,0.2,0.2,0.15,0.25,0.16473
0.3,0.25,0.2,0.1,0.15,0.27797
0.1,0.25,0.25,0.2,0.2,0.70941
0.3,0.2,0.25,0.1,0.15,0.37234
0.15,0.2,0.1,0.3,0.25,0.44356
0.3,0.2,0.15,0.1,0.25,0.17819
0.25,0.25,0.1,0.3,0.1,0.51572
0.1,0.2,0.25,0.15,0.3,0.37072
0.2,0.25,0.1,0.2,0.25,0.3769
0.25,0.2,0.25,0.1,0.2,0.17111
0.2,0.15,0.15,0.25,0.25,0.2357
0.15,0.25,0.2,0.15,0.25,0.31696
0.1,0.2,0.25,0.3,0.15,0.48288
0.3,0.15,0.1,0.25,0.2,0.35474
0.25,0.2,0.2,0.2,0.15,0.3627
0.25,0.1,0.1,0.3,0.25,0.52854
0.25,0.15,0.15,0.2,0.25,0.27018
0.1,0.3,0.15,0.3,0.15,0.59701
0.15,0.15,0.25,0.3,0.15,0.42633
0.3,0.2,0.2,0.15,0.15,0.25785
0.3,0.1,0.2,0.25,0.15,0.25918
0.1,0.25,0.25,0.3,0.1,0.33272
0.2,0.16,0.19,0.15,0.3,0.29804
0.15,0.07,0.25,0.27,0.26,1.65686
0.15,0.07,0.14,0.35,0.29,0.64214
