Metal_1,Metal_2,Metal_3,Metal_1_Proportion,Metal_2_Proportion,Metal_3_Proportion,Hydrothermal Temp degree,Hydrothermal Time min,Annealing Temp degree,Annealing Time min,Proton Concentration M,Catalyst_Loading mg cm -2,Overpotential mV @10 mA cm-2
Cu,Ru,,74.69661761,25.30338239,0.0,150.0,900.0,200.0,240.0,1.0,0.704,216
Cu,Ru,,74.69661761,25.30338239,0.0,150.0,900.0,300.0,240.0,1.0,0.704,201
Cu,Ru,,74.69661761,25.30338239,0.0,150.0,900.0,400.0,240.0,1.0,0.704,245
Cu,Ru,,74.69661761,25.30338239,0.0,150.0,900.0,500.0,240.0,1.0,0.704,286
Co,,,100.0,0.0,0.0,150.0,120.0,400.0,60.0,1.0,0.902,422
Co,Fe,,99.33774834,0.662251656,0.0,150.0,120.0,400.0,60.0,1.0,0.8877,396
Pd,Ir,,79.5959596,20.4040404,0.0,200.0,120.0,25.0,0.0,0.1,0.068,248
Pd,Ir,,85.55917481,14.44082519,0.0,200.0,15.0,25.0,0.0,0.1,0.068,292
Ru,Pb,,83.33333333,16.66666667,0.0,0.0,2280.0,500.0,60.0,1.0,0.229,191
Ru,Pb,,75.0,25.0,0.0,0.0,2280.0,500.0,60.0,1.0,0.229,221
Ru,Pb,,87.5,12.5,0.0,0.0,2280.0,500.0,60.0,1.0,0.229,217
Ru,Pb,,100.0,0.0,0.0,0.0,2280.0,500.0,60.0,1.0,0.229,285
Ni,Ru,,66.64006385,33.35993615,0.0,25.0,180.0,400.0,180.0,1.0,0.063,211
Ni,Ru,,66.64006385,33.35993615,0.0,60.0,360.0,400.0,180.0,1.0,0.292,286
Ir,Co,,75.0,25.0,0.0,270.0,120.0,25.0,0.0,1.0,0.5,329
Ir,Co,,75.0,25.0,0.0,270.0,120.0,100.0,180.0,1.0,0.5,325
Ir,Co,,75.0,25.0,0.0,270.0,120.0,200.0,180.0,1.0,0.5,260
Ir,Co,,75.0,25.0,0.0,270.0,120.0,300.0,180.0,1.0,0.5,281
Ir,Co,,75.0,25.0,0.0,270.0,120.0,400.0,180.0,1.0,0.5,354
Ir,Co,,75.0,25.0,0.0,270.0,120.0,500.0,180.0,1.0,0.5,385
Ru,,,100.0,0.0,0.0,60.0,720.0,500.0,60.0,1.0,0.3,281
Ru,Ce,Mo,75.0,25.0,0.0,60.0,720.0,500.0,60.0,1.0,0.3,262
Ru,Ce,,75.0,25.0,0.0,60.0,720.0,500.0,60.0,1.0,0.3,199
Ru,Mo,,60.0,20.0,20.0,60.0,720.0,500.0,60.0,1.0,0.3,164
Ru,Ce,Mo,50.0,33.33333333,16.66666667,60.0,720.0,500.0,60.0,1.0,0.3,181
Ru,Ir,,66.66666667,33.33333333,0.0,80.0,10.0,240.0,60.0,0.1,0.127,219
Ru,Ir,Mn,63.82978723,31.91489362,4.255319149,80.0,10.0,240.0,60.0,0.1,0.127,198
Ru,Ir,Mn,54.54545455,27.27272727,18.18181818,80.0,10.0,240.0,60.0,0.1,0.127,229
Ru,Ir,,80.0,20.0,0.0,25.0,360.0,25.0,0.0,0.1,0.127,232
Ir,,,100.0,0.0,0.0,25.0,0.0,800.0,180.0,0.1,0.212,197
Ir,,,100.0,0.0,0.0,25.0,0.0,900.0,120.0,0.1,0.212,297
Co,,,100.0,0.0,0.0,80.0,360.0,800.0,120.0,1.0,0.1225,530
Co,Ir,,82.33333333,17.66666667,0.0,25.0,30.0,300.0,60.0,1.0,0.1375,300
Ir,,,100.0,0.0,0.0,25.0,30.0,300.0,60.0,1.0,0.1,320
Ir,,,100.0,0.0,0.0,25.0,0.0,500.0,30.0,0.1,0.255,188
Ru,,,100.0,0.0,0.0,25.0,1.0,700.0,0.1,1.0,1.3307,189
Ru,Mo,,80.0,20.0,0.0,25.0,1.0,930.0,0.2,1.0,1.6907,187
Ru,Mo,,60.0,40.0,0.0,25.0,1.0,930.0,0.2,1.0,2.2907,199
Mo,Ru,,60.0,40.0,0.0,25.0,1.0,930.0,0.2,1.0,3.4907,208
Mo,Ru,,80.0,20.0,0.0,25.0,1.0,930.0,0.2,1.0,7.0907,225
Ru,Co,,99.65123038,0.348769618,0.0,25.0,1440.0,350.0,240.0,1.0,0.1,328
Ru,,,100.0,0.0,0.0,25.0,1440.0,350.0,240.0,1.0,0.1,342
Co,,,100.0,0.0,0.0,25.0,1440.0,350.0,240.0,1.0,0.1,600
Ba,Ir,,86.59177241,13.40822759,0.0,150.0,480.0,700.0,360.0,1.0,0.283,230
Sr,Ir,,88.85812487,11.14187513,0.0,150.0,480.0,700.0,360.0,1.0,0.283,300
Pt,Ru,Co,57.09728659,29.834028,13.06868541,260.0,120.0,400.0,60.0,0.1,0.0417,213
Pt,Ru,,53.69840303,46.30159697,0.0,260.0,120.0,400.0,60.0,0.1,0.0492,274
Ru,,,100.0,0.0,0.0,280.0,120.0,400.0,60.0,0.1,0.0263,265
Ru,Sb,,50.0,50.0,0.0,100.0,3.0,600.0,360.0,1.0,0.223,454
Mn,Sb,,50.0,50.0,0.0,100.0,3.0,600.0,360.0,1.0,0.177,698
Co,Sb,,50.0,50.0,0.0,100.0,3.0,600.0,360.0,1.0,0.201,808
