Mn_molar_fraction,Fe_molar_fraction,Co_molar_fraction,Ni_molar_fraction,La_molar_fraction,Ce_molar_fraction,overpotential_V
0.1,0.2,0.0,0.0,0.6,0.1,0.3961929999999999
0.0,0.3,0.0,0.2,0.5,0.0,0.379979
0.2,0.0,0.1,0.0,0.4,0.3,0.414406
0.1,0.0,0.4,0.1,0.4,0.0,0.4106579999999999
0.2,0.1,0.2,0.0,0.0,0.5,0.374932
0.0,0.1,0.1,0.6,0.0,0.2,0.4137229999999999
0.4,0.0,0.3,0.1,0.2,0.0,0.410222
0.0,0.0,0.7,0.1,0.1,0.1,0.4302229999999999
0.2,0.1,0.0,0.1,0.0,0.6,0.372513
0.4,0.0,0.3,0.0,0.2,0.1,0.405706
0.0,0.6,0.0,0.3,0.0,0.1,0.387473
0.3,0.4,0.0,0.0,0.1,0.2,0.3468239999999999
0.1,0.3,0.4,0.0,0.2,0.0,0.439122
0.1,0.1,0.0,0.5,0.0,0.3,0.411905
0.0,0.0,0.1,0.7,0.2,0.0,0.384291
0.1,0.6,0.0,0.0,0.2,0.1,0.3870139999999999
0.0,0.3,0.1,0.2,0.4,0.0,0.386874
0.2,0.0,0.6,0.0,0.1,0.1,0.4154529999999999
0.4,0.2,0.0,0.0,0.2,0.2,0.362771
0.4,0.2,0.0,0.2,0.2,0.0,0.358023
0.2,0.8,0.0,0.0,0.0,0.0,0.380069
0.2,0.0,0.2,0.6,0.0,0.0,0.483368
0.0,0.2,0.2,0.2,0.0,0.4,0.443222
0.0,0.0,0.2,0.2,0.4,0.2,0.40944
0.0,0.0,0.0,0.2,0.8,0.0,0.398378
0.2,0.6,0.0,0.0,0.2,0.0,0.3752
0.0,0.0,0.0,0.2,0.6,0.2,0.391928
0.0,0.2,0.2,0.0,0.6,0.0,0.3830719999999999
1.0,0.0,0.0,0.0,0.0,0.0,0.373778
0.2,0.2,0.0,0.0,0.4,0.2,0.3829619999999999
0.0,0.0,0.4,0.2,0.2,0.2,0.473114
0.0,0.6,0.0,0.2,0.2,0.0,0.38187
0.0,0.2,0.0,0.6,0.2,0.0,0.425782
0.2,0.0,0.0,0.8,0.0,0.0,0.388341
0.2,0.4,0.0,0.0,0.2,0.2,0.358703
0.0,0.0,0.2,0.6,0.0,0.2,0.4589189999999999
0.4,0.2,0.2,0.2,0.0,0.0,0.371002
0.2,0.4,0.0,0.2,0.2,0.0,0.366732
0.8,0.0,0.0,0.2,0.0,0.0,0.409259
0.0,0.0,0.8,0.0,0.2,0.0,0.515212
0.0,0.2,0.4,0.0,0.2,0.2,0.4144819999999999
0.0,0.2,0.2,0.6,0.0,0.0,0.4123199999999999
0.0,0.2,0.0,0.8,0.0,0.0,0.426813
0.0,0.2,0.0,0.0,0.6,0.2,0.395565
0.0,0.0,0.0,0.5,0.1,0.4,0.447543
0.3,0.1,0.6,0.0,0.0,0.0,0.403256
0.1,0.1,0.4,0.4,0.0,0.0,0.444285
0.4,0.1,0.0,0.0,0.5,0.0,0.377083
0.0,0.0,0.1,0.5,0.3,0.1,0.402966
0.1,0.0,0.0,0.7,0.0,0.2,0.472105
0.2,0.4,0.1,0.3,0.0,0.0,0.362405
0.0,0.1,0.1,0.6,0.2,0.0,0.372585
0.3,0.3,0.0,0.0,0.3,0.1,0.362619
0.0,0.4,0.0,0.1,0.1,0.4,0.409393
0.2,0.2,0.0,0.0,0.1,0.5,0.387103
0.4,0.4,0.0,0.0,0.1,0.1,0.356117
0.0,0.3,0.0,0.0,0.0,0.7,0.499627
0.2,0.0,0.1,0.0,0.1,0.6,0.39082
0.3,0.3,0.0,0.0,0.4,0.0,0.3658889999999999
0.0,0.2,0.3,0.4,0.0,0.1,0.410801
0.1,0.4,0.0,0.2,0.3,0.0,0.374374
0.5,0.0,0.0,0.4,0.0,0.1,0.414927
0.1,0.0,0.0,0.4,0.1,0.4,0.42078
0.1,0.3,0.0,0.0,0.5,0.1,0.385932
0.6,0.1,0.0,0.2,0.1,0.0,0.370044
0.0,0.3,0.0,0.6,0.0,0.1,0.454084
0.4,0.1,0.0,0.4,0.0,0.1,0.391702
