Mn_molar_fraction,Fe_molar_fraction,Co_molar_fraction,Ni_molar_fraction,Cu_molar_fraction,Ta_molar_fraction,overpotential_V
0.1,0.2,0.0,0.0,0.6,0.1,0.400783
0.0,0.3,0.0,0.2,0.5,0.0,0.402123
0.2,0.0,0.1,0.0,0.4,0.3,0.448706
0.1,0.0,0.4,0.1,0.4,0.0,0.4411319999999999
0.2,0.1,0.2,0.0,0.0,0.5,0.473652
0.0,0.1,0.1,0.6,0.0,0.2,0.473529
0.4,0.0,0.3,0.1,0.2,0.0,0.449793
0.0,0.0,0.7,0.1,0.1,0.1,0.4568359999999999
0.2,0.1,0.0,0.1,0.0,0.6,0.448611
0.4,0.0,0.3,0.0,0.2,0.1,0.4449439999999999
0.0,0.6,0.0,0.3,0.0,0.1,0.4484439999999999
0.3,0.4,0.0,0.0,0.1,0.2,0.399579
0.1,0.3,0.4,0.0,0.2,0.0,0.416693
0.1,0.1,0.0,0.5,0.0,0.3,0.4734319999999999
0.0,0.0,0.1,0.7,0.2,0.0,0.430544
0.1,0.6,0.0,0.0,0.2,0.1,0.410072
0.0,0.3,0.1,0.2,0.4,0.0,0.418419
0.2,0.0,0.6,0.0,0.1,0.1,0.452672
0.4,0.2,0.0,0.0,0.2,0.2,0.390901
0.4,0.2,0.0,0.2,0.2,0.0,0.391838
0.2,0.8,0.0,0.0,0.0,0.0,0.394337
0.2,0.0,0.2,0.6,0.0,0.0,0.4580329999999999
0.0,0.2,0.2,0.2,0.0,0.4,0.507951
0.0,0.0,0.2,0.2,0.4,0.2,0.440042
0.0,0.0,0.0,0.2,0.8,0.0,0.419854
0.2,0.6,0.0,0.0,0.2,0.0,0.40187
0.0,0.0,0.0,0.2,0.6,0.2,0.426885
0.0,0.2,0.2,0.0,0.6,0.0,0.40938
1.0,0.0,0.0,0.0,0.0,0.0,0.428641
0.2,0.2,0.0,0.0,0.4,0.2,0.413072
0.0,0.0,0.4,0.2,0.2,0.2,0.4726859999999999
0.0,0.6,0.0,0.2,0.2,0.0,0.407674
0.0,0.2,0.0,0.6,0.2,0.0,0.421746
0.2,0.0,0.0,0.8,0.0,0.0,0.453684
0.2,0.4,0.0,0.0,0.2,0.2,0.402086
0.0,0.0,0.2,0.6,0.0,0.2,0.478189
0.4,0.2,0.2,0.2,0.0,0.0,0.448151
0.2,0.4,0.0,0.2,0.2,0.0,0.408738
0.8,0.0,0.0,0.2,0.0,0.0,0.453585
0.0,0.0,0.8,0.0,0.2,0.0,0.443891
0.0,0.2,0.4,0.0,0.2,0.2,0.446597
0.0,0.2,0.2,0.6,0.0,0.0,0.448833
0.0,0.2,0.0,0.8,0.0,0.0,0.452027
0.0,0.2,0.0,0.0,0.6,0.2,0.418936
0.0,0.0,0.0,0.5,0.1,0.4,0.4804449999999999
0.3,0.1,0.6,0.0,0.0,0.0,0.3855949999999999
0.1,0.1,0.4,0.4,0.0,0.0,0.48421
0.4,0.1,0.0,0.0,0.5,0.0,0.4012
0.0,0.0,0.1,0.5,0.3,0.1,0.44309
0.1,0.0,0.0,0.7,0.0,0.2,0.495927
0.2,0.4,0.1,0.3,0.0,0.0,0.433467
0.0,0.1,0.1,0.6,0.2,0.0,0.430993
0.3,0.3,0.0,0.0,0.3,0.1,0.383621
0.0,0.4,0.0,0.1,0.1,0.4,0.43665
0.2,0.2,0.0,0.0,0.1,0.5,0.410599
0.4,0.4,0.0,0.0,0.1,0.1,0.3773559999999999
0.0,0.3,0.0,0.0,0.0,0.7,0.495504
0.2,0.0,0.1,0.0,0.1,0.6,0.4719489999999999
0.3,0.3,0.0,0.0,0.4,0.0,0.381337
0.0,0.2,0.3,0.4,0.0,0.1,0.483006
0.1,0.4,0.0,0.2,0.3,0.0,0.402445
0.5,0.0,0.0,0.4,0.0,0.1,0.4585909999999999
0.1,0.0,0.0,0.4,0.1,0.4,0.476524
0.1,0.3,0.0,0.0,0.5,0.1,0.400955
0.6,0.1,0.0,0.2,0.1,0.0,0.382762
0.0,0.3,0.0,0.6,0.0,0.1,0.4606689999999999
0.4,0.1,0.0,0.4,0.0,0.1,0.421546
0.6,0.0,0.0,0.3,0.1,0.0,0.417434
0.3,0.5,0.0,0.1,0.0,0.1,0.380281
0.4,0.2,0.0,0.0,0.4,0.0,0.401967
0.5,0.1,0.0,0.1,0.3,0.0,0.408909
0.1,0.1,0.5,0.0,0.3,0.0,0.42578
0.0,0.2,0.0,0.6,0.1,0.1,0.4377979999999999
0.1,0.2,0.0,0.0,0.7,0.0,0.4172369999999999
0.5,0.2,0.1,0.2,0.0,0.0,0.441863
0.1,0.0,0.6,0.0,0.1,0.2,0.4620189999999999
0.2,0.1,0.1,0.6,0.0,0.0,0.447999
0.0,0.7,0.0,0.1,0.1,0.1,0.417195
0.0,0.0,0.1,0.2,0.4,0.3,0.4413229999999999
0.1,0.1,0.0,0.0,0.2,0.6,0.4338149999999999
0.3,0.1,0.0,0.0,0.4,0.2,0.393671
0.8,0.0,0.0,0.0,0.2,0.0,0.423477
0.2,0.4,0.2,0.0,0.0,0.2,0.425734
0.4,0.2,0.2,0.0,0.2,0.0,0.403936
0.0,0.0,0.0,0.2,0.0,0.8,0.503627
0.4,0.0,0.2,0.2,0.0,0.2,0.4934409999999999
0.2,0.2,0.2,0.0,0.0,0.4,0.452993
0.0,0.2,0.2,0.0,0.2,0.4,0.4496989999999999
0.2,0.0,0.2,0.2,0.0,0.4,0.480336
0.6,0.2,0.0,0.0,0.0,0.2,0.394289
0.6,0.2,0.0,0.2,0.0,0.0,0.404298
0.0,0.0,0.2,0.4,0.2,0.2,0.451817
0.0,0.0,0.6,0.2,0.2,0.0,0.454289
0.0,0.2,0.2,0.0,0.0,0.6,0.506504
0.2,0.2,0.0,0.6,0.0,0.0,0.4418319999999999
0.0,0.2,0.0,0.2,0.0,0.6,0.509858
0.2,0.6,0.0,0.2,0.0,0.0,0.421299
0.8,0.0,0.2,0.0,0.0,0.0,0.419272
0.4,0.0,0.0,0.2,0.2,0.2,0.432839
0.2,0.0,0.0,0.0,0.6,0.2,0.437245
0.4,0.0,0.2,0.2,0.2,0.0,0.4501199999999999
0.0,0.0,0.0,0.8,0.0,0.2,0.482354
0.0,0.0,0.2,0.8,0.0,0.0,0.428565
0.0,0.2,0.2,0.2,0.4,0.0,0.4299989999999999
0.2,0.2,0.4,0.0,0.2,0.0,0.406489
0.2,0.0,0.0,0.2,0.4,0.2,0.430861
0.4,0.0,0.2,0.0,0.2,0.2,0.449056
0.1,0.4,0.0,0.0,0.0,0.5,0.436874
0.2,0.7,0.1,0.0,0.0,0.0,0.385363
0.0,0.4,0.0,0.0,0.1,0.5,0.4470189999999999
0.0,0.0,0.4,0.4,0.1,0.1,0.4588359999999999
0.0,0.3,0.0,0.2,0.4,0.1,0.421035
0.4,0.0,0.0,0.3,0.1,0.2,0.4414619999999999
0.3,0.0,0.3,0.2,0.2,0.0,0.44991
0.0,0.0,0.4,0.0,0.5,0.1,0.434056
0.6,0.3,0.0,0.0,0.0,0.1,0.373003
0.4,0.0,0.0,0.6,0.0,0.0,0.435762
0.0,0.3,0.4,0.2,0.1,0.0,0.431623
0.0,0.1,0.7,0.0,0.0,0.2,0.444356
0.0,0.1,0.1,0.1,0.0,0.7,0.499826
0.5,0.1,0.1,0.3,0.0,0.0,0.4544439999999999
0.0,0.2,0.3,0.5,0.0,0.0,0.43509
0.5,0.2,0.3,0.0,0.0,0.0,0.370867
0.4,0.1,0.0,0.0,0.3,0.2,0.384488
0.1,0.2,0.2,0.5,0.0,0.0,0.445604
0.5,0.1,0.1,0.0,0.0,0.3,0.415174
0.4,0.0,0.0,0.0,0.6,0.0,0.405223
0.1,0.0,0.0,0.4,0.3,0.2,0.4243729999999999
0.2,0.0,0.0,0.3,0.0,0.5,0.470999
0.3,0.1,0.2,0.0,0.0,0.4,0.460335
0.6,0.1,0.1,0.0,0.2,0.0,0.401593
0.4,0.1,0.2,0.0,0.3,0.0,0.404781
0.5,0.0,0.1,0.3,0.0,0.1,0.456606
0.3,0.1,0.4,0.0,0.0,0.2,0.449443
0.1,0.0,0.4,0.0,0.2,0.3,0.4565649999999999
0.1,0.5,0.3,0.1,0.0,0.0,0.435137
0.0,0.1,0.0,0.5,0.2,0.2,0.438205
0.2,0.0,0.5,0.2,0.1,0.0,0.457546
0.1,0.0,0.5,0.0,0.3,0.1,0.449821
0.5,0.0,0.0,0.0,0.4,0.1,0.43132
0.0,0.6,0.3,0.0,0.0,0.1,0.4410949999999999
0.0,0.4,0.5,0.0,0.1,0.0,0.418188
0.0,0.5,0.1,0.4,0.0,0.0,0.439054
0.2,0.0,0.0,0.4,0.0,0.4,0.466258
0.0,0.0,0.8,0.2,0.0,0.0,0.462462
0.0,0.0,0.2,0.0,0.8,0.0,0.420782
0.2,0.0,0.0,0.0,0.8,0.0,0.4304489999999999
0.2,0.0,0.2,0.2,0.4,0.0,0.434386
0.0,0.6,0.0,0.0,0.2,0.2,0.433456
0.8,0.0,0.0,0.0,0.0,0.2,0.436583
0.0,0.4,0.0,0.2,0.2,0.2,0.4301529999999999
0.2,0.0,0.0,0.0,0.0,0.8,0.4865029999999999
0.0,0.4,0.2,0.0,0.2,0.2,0.437287
0.0,0.2,0.0,0.6,0.0,0.2,0.462895
0.0,0.0,0.6,0.2,0.0,0.2,0.4932649999999999
0.2,0.2,0.2,0.4,0.0,0.0,0.455403
0.2,0.2,0.0,0.0,0.2,0.4,0.427393
0.0,0.2,0.0,0.2,0.2,0.4,0.4405779999999999
0.8,0.2,0.0,0.0,0.0,0.0,0.385511
0.2,0.0,0.6,0.0,0.2,0.0,0.436946
