Mn_molar_fraction,Fe_molar_fraction,Co_molar_fraction,Cu_molar_fraction,Sn_molar_fraction,Ta_molar_fraction,overpotential_V
0.1,0.2,0.0,0.0,0.6,0.1,0.408761
0.0,0.3,0.0,0.2,0.5,0.0,0.416087
0.2,0.0,0.1,0.0,0.4,0.3,0.461742
0.1,0.0,0.4,0.1,0.4,0.0,0.475109
0.2,0.1,0.2,0.0,0.0,0.5,0.594522
0.0,0.1,0.1,0.6,0.0,0.2,0.5417609999999999
0.4,0.0,0.3,0.1,0.2,0.0,0.4543729999999999
0.0,0.0,0.7,0.1,0.1,0.1,0.506097
0.2,0.1,0.0,0.1,0.0,0.6,0.553537
0.4,0.0,0.3,0.0,0.2,0.1,0.475121
0.0,0.6,0.0,0.3,0.0,0.1,0.499461
0.3,0.4,0.0,0.0,0.1,0.2,0.440917
0.1,0.3,0.4,0.0,0.2,0.0,0.430871
0.1,0.1,0.0,0.5,0.0,0.3,0.513727
0.0,0.0,0.1,0.7,0.2,0.0,0.408453
0.1,0.6,0.0,0.0,0.2,0.1,0.433877
0.0,0.3,0.1,0.2,0.4,0.0,0.435171
0.2,0.0,0.6,0.0,0.1,0.1,0.468413
0.4,0.2,0.0,0.0,0.2,0.2,0.437472
0.4,0.2,0.0,0.2,0.2,0.0,0.446372
0.2,0.8,0.0,0.0,0.0,0.0,0.471935
0.2,0.0,0.2,0.6,0.0,0.0,0.5370060000000001
0.0,0.2,0.2,0.2,0.0,0.4,0.5656680000000001
0.0,0.0,0.2,0.2,0.4,0.2,0.4657199999999999
0.0,0.0,0.0,0.2,0.8,0.0,0.454706
0.2,0.6,0.0,0.0,0.2,0.0,0.412197
0.0,0.0,0.0,0.2,0.6,0.2,0.4429899999999999
0.0,0.2,0.2,0.0,0.6,0.0,0.4199479999999999
1.0,0.0,0.0,0.0,0.0,0.0,0.608378
0.2,0.2,0.0,0.0,0.4,0.2,0.4252899999999999
0.0,0.0,0.4,0.2,0.2,0.2,0.477535
0.0,0.6,0.0,0.2,0.2,0.0,0.415147
0.0,0.2,0.0,0.6,0.2,0.0,0.439562
0.2,0.0,0.0,0.8,0.0,0.0,0.523924
0.2,0.4,0.0,0.0,0.2,0.2,0.4338439999999999
0.0,0.0,0.2,0.6,0.0,0.2,0.5616399999999999
0.4,0.2,0.2,0.2,0.0,0.0,0.5240819999999999
0.2,0.4,0.0,0.2,0.2,0.0,0.4239189999999999
0.8,0.0,0.0,0.2,0.0,0.0,0.597116
0.0,0.0,0.8,0.0,0.2,0.0,0.467212
0.0,0.2,0.4,0.0,0.2,0.2,0.482241
0.0,0.2,0.2,0.6,0.0,0.0,0.449155
0.0,0.2,0.0,0.8,0.0,0.0,0.461863
0.0,0.2,0.0,0.0,0.6,0.2,0.45345
0.0,0.0,0.0,0.5,0.1,0.4,0.50817
0.3,0.1,0.6,0.0,0.0,0.0,0.621884
0.1,0.1,0.4,0.4,0.0,0.0,0.490856
0.4,0.1,0.0,0.0,0.5,0.0,0.419563
0.0,0.0,0.1,0.5,0.3,0.1,0.4679029999999999
0.1,0.0,0.0,0.7,0.0,0.2,0.573617
0.2,0.4,0.1,0.3,0.0,0.0,0.502003
0.0,0.1,0.1,0.6,0.2,0.0,0.4122119999999999
0.3,0.3,0.0,0.0,0.3,0.1,0.4197
0.0,0.4,0.0,0.1,0.1,0.4,0.518246
0.2,0.2,0.0,0.0,0.1,0.5,0.461416
0.4,0.4,0.0,0.0,0.1,0.1,0.447526
0.0,0.3,0.0,0.0,0.0,0.7,0.561983
0.2,0.0,0.1,0.0,0.1,0.6,0.512572
0.3,0.3,0.0,0.0,0.4,0.0,0.405606
0.0,0.2,0.3,0.4,0.0,0.1,0.5105109999999999
0.1,0.4,0.0,0.2,0.3,0.0,0.407761
0.5,0.0,0.0,0.4,0.0,0.1,0.62662
0.1,0.0,0.0,0.4,0.1,0.4,0.532514
0.1,0.3,0.0,0.0,0.5,0.1,0.40497
0.6,0.1,0.0,0.2,0.1,0.0,0.4730689999999999
0.0,0.3,0.0,0.6,0.0,0.1,0.511771
0.4,0.1,0.0,0.4,0.0,0.1,0.544451
0.6,0.0,0.0,0.3,0.1,0.0,0.5167
0.3,0.5,0.0,0.1,0.0,0.1,0.493496
0.4,0.2,0.0,0.0,0.4,0.0,0.4130649999999999
0.5,0.1,0.0,0.1,0.3,0.0,0.430272
0.1,0.1,0.5,0.0,0.3,0.0,0.4297189999999999
0.0,0.2,0.0,0.6,0.1,0.1,0.486222
0.1,0.2,0.0,0.0,0.7,0.0,0.442471
0.5,0.2,0.1,0.2,0.0,0.0,0.524575
0.1,0.0,0.6,0.0,0.1,0.2,0.484872
0.2,0.1,0.1,0.6,0.0,0.0,0.499903
0.0,0.7,0.0,0.1,0.1,0.1,0.450337
0.0,0.0,0.1,0.2,0.4,0.3,0.4468029999999999
0.1,0.1,0.0,0.0,0.2,0.6,0.44788
0.3,0.1,0.0,0.0,0.4,0.2,0.427238
0.8,0.0,0.0,0.0,0.2,0.0,0.4997279999999999
0.2,0.4,0.2,0.0,0.0,0.2,0.510671
0.4,0.2,0.2,0.0,0.2,0.0,0.417534
0.0,0.0,0.0,0.2,0.0,0.8,0.581184
0.4,0.0,0.2,0.2,0.0,0.2,0.605418
0.2,0.2,0.2,0.0,0.0,0.4,0.55416
0.0,0.2,0.2,0.0,0.2,0.4,0.47488
0.2,0.0,0.2,0.2,0.0,0.4,0.609712
0.6,0.2,0.0,0.0,0.0,0.2,0.585264
0.6,0.2,0.0,0.2,0.0,0.0,0.525981
0.0,0.0,0.2,0.4,0.2,0.2,0.467082
0.0,0.0,0.6,0.2,0.2,0.0,0.5253140000000001
0.0,0.2,0.2,0.0,0.0,0.6,0.590015
0.2,0.2,0.0,0.6,0.0,0.0,0.516776
0.0,0.2,0.0,0.2,0.0,0.6,0.579804
0.2,0.6,0.0,0.2,0.0,0.0,0.503322
0.8,0.0,0.2,0.0,0.0,0.0,0.660538
0.4,0.0,0.0,0.2,0.2,0.2,0.482277
0.2,0.0,0.0,0.0,0.6,0.2,0.453985
0.4,0.0,0.2,0.2,0.2,0.0,0.451446
0.0,0.0,0.0,0.8,0.0,0.2,0.515163
0.0,0.0,0.2,0.8,0.0,0.0,0.412027
0.0,0.2,0.2,0.2,0.4,0.0,0.4399729999999999
0.2,0.2,0.4,0.0,0.2,0.0,0.406576
0.2,0.0,0.0,0.2,0.4,0.2,0.463022
0.4,0.0,0.2,0.0,0.2,0.2,0.4920739999999999
0.1,0.4,0.0,0.0,0.0,0.5,0.536366
0.2,0.7,0.1,0.0,0.0,0.0,0.492996
0.0,0.4,0.0,0.0,0.1,0.5,0.504499
0.0,0.0,0.4,0.4,0.1,0.1,0.489638
0.0,0.3,0.0,0.2,0.4,0.1,0.450805
0.4,0.0,0.0,0.3,0.1,0.2,0.5054890000000001
0.3,0.0,0.3,0.2,0.2,0.0,0.4366649999999999
0.0,0.0,0.4,0.0,0.5,0.1,0.461172
0.6,0.3,0.0,0.0,0.0,0.1,0.530519
0.4,0.0,0.0,0.6,0.0,0.0,0.506253
0.0,0.3,0.4,0.2,0.1,0.0,0.432899
0.0,0.1,0.7,0.0,0.0,0.2,0.546377
0.0,0.1,0.1,0.1,0.0,0.7,0.600295
0.5,0.1,0.1,0.3,0.0,0.0,0.549817
0.0,0.2,0.3,0.5,0.0,0.0,0.460327
0.5,0.2,0.3,0.0,0.0,0.0,0.573454
0.4,0.1,0.0,0.0,0.3,0.2,0.43423
0.1,0.2,0.2,0.5,0.0,0.0,0.500818
