Ca_molar_fraction,Mn_molar_fraction,Co_molar_fraction,Ni_molar_fraction,Sn_molar_fraction,Sb_molar_fraction,overpotential_V
0.1,0.2,0.0,0.0,0.6,0.1,0.454321
0.0,0.3,0.0,0.2,0.5,0.0,0.454306
0.2,0.0,0.1,0.0,0.4,0.3,0.4527319999999999
0.1,0.0,0.4,0.1,0.4,0.0,0.460305
0.2,0.1,0.2,0.0,0.0,0.5,0.556269
0.0,0.1,0.1,0.6,0.0,0.2,0.461232
0.4,0.0,0.3,0.1,0.2,0.0,0.455355
0.0,0.0,0.7,0.1,0.1,0.1,0.485155
0.2,0.1,0.0,0.1,0.0,0.6,0.5022439999999999
0.4,0.0,0.3,0.0,0.2,0.1,0.470321
0.0,0.6,0.0,0.3,0.0,0.1,0.55232
0.3,0.4,0.0,0.0,0.1,0.2,0.555584
0.1,0.3,0.4,0.0,0.2,0.0,0.483977
0.1,0.1,0.0,0.5,0.0,0.3,0.4803
0.0,0.0,0.1,0.7,0.2,0.0,0.439633
0.1,0.6,0.0,0.0,0.2,0.1,0.4813199999999999
0.0,0.3,0.1,0.2,0.4,0.0,0.446313
0.2,0.0,0.6,0.0,0.1,0.1,0.48731
0.4,0.2,0.0,0.0,0.2,0.2,0.506817
0.4,0.2,0.0,0.2,0.2,0.0,0.49249
0.2,0.8,0.0,0.0,0.0,0.0,0.576955
0.2,0.0,0.2,0.6,0.0,0.0,0.4298369999999999
0.0,0.2,0.2,0.2,0.0,0.4,0.517252
0.0,0.0,0.2,0.2,0.4,0.2,0.47572
0.0,0.0,0.0,0.2,0.8,0.0,0.450162
0.2,0.6,0.0,0.0,0.2,0.0,0.491521
0.0,0.0,0.0,0.2,0.6,0.2,0.456527
0.0,0.2,0.2,0.0,0.6,0.0,0.4681369999999999
1.0,0.0,0.0,0.0,0.0,0.0,0.512696
0.2,0.2,0.0,0.0,0.4,0.2,0.477539
0.0,0.0,0.4,0.2,0.2,0.2,0.4790109999999999
0.0,0.6,0.0,0.2,0.2,0.0,0.5052369999999999
0.0,0.2,0.0,0.6,0.2,0.0,0.436851
0.2,0.0,0.0,0.8,0.0,0.0,0.449692
0.2,0.4,0.0,0.0,0.2,0.2,0.503037
0.0,0.0,0.2,0.6,0.0,0.2,0.474233
0.4,0.2,0.2,0.2,0.0,0.0,0.5064420000000001
0.2,0.4,0.0,0.2,0.2,0.0,0.507421
0.8,0.0,0.0,0.2,0.0,0.0,0.545041
0.0,0.0,0.8,0.0,0.2,0.0,0.482943
0.0,0.2,0.4,0.0,0.2,0.2,0.493927
0.0,0.2,0.2,0.6,0.0,0.0,0.446378
0.0,0.2,0.0,0.8,0.0,0.0,0.453798
0.0,0.2,0.0,0.0,0.6,0.2,0.485335
0.0,0.0,0.0,0.5,0.1,0.4,0.443996
0.3,0.1,0.6,0.0,0.0,0.0,0.5353359999999999
0.1,0.1,0.4,0.4,0.0,0.0,0.461628
0.4,0.1,0.0,0.0,0.5,0.0,0.4426989999999999
0.0,0.0,0.1,0.5,0.3,0.1,0.429814
0.1,0.0,0.0,0.7,0.0,0.2,0.436403
0.2,0.4,0.1,0.3,0.0,0.0,0.534826
0.0,0.1,0.1,0.6,0.2,0.0,0.417674
0.3,0.3,0.0,0.0,0.3,0.1,0.47239
0.0,0.4,0.0,0.1,0.1,0.4,0.523058
0.2,0.2,0.0,0.0,0.1,0.5,0.516613
0.4,0.4,0.0,0.0,0.1,0.1,0.551265
0.0,0.3,0.0,0.0,0.0,0.7,0.656165
0.2,0.0,0.1,0.0,0.1,0.6,0.461714
0.3,0.3,0.0,0.0,0.4,0.0,0.466842
0.0,0.2,0.3,0.4,0.0,0.1,0.483749
0.1,0.4,0.0,0.2,0.3,0.0,0.4700979999999999
0.5,0.0,0.0,0.4,0.0,0.1,0.509296
0.1,0.0,0.0,0.4,0.1,0.4,0.424216
0.1,0.3,0.0,0.0,0.5,0.1,0.466211
0.6,0.1,0.0,0.2,0.1,0.0,0.479327
0.0,0.3,0.0,0.6,0.0,0.1,0.455426
0.4,0.1,0.0,0.4,0.0,0.1,0.493222
0.6,0.0,0.0,0.3,0.1,0.0,0.48388
0.3,0.5,0.0,0.1,0.0,0.1,0.514104
0.4,0.2,0.0,0.0,0.4,0.0,0.4600649999999999
0.5,0.1,0.0,0.1,0.3,0.0,0.453752
0.1,0.1,0.5,0.0,0.3,0.0,0.467789
0.0,0.2,0.0,0.6,0.1,0.1,0.440536
0.1,0.2,0.0,0.0,0.7,0.0,0.467811
0.5,0.2,0.1,0.2,0.0,0.0,0.5342319999999999
0.1,0.0,0.6,0.0,0.1,0.2,0.489513
0.2,0.1,0.1,0.6,0.0,0.0,0.453615
0.0,0.7,0.0,0.1,0.1,0.1,0.5119560000000001
0.0,0.0,0.1,0.2,0.4,0.3,0.4584899999999999
0.1,0.1,0.0,0.0,0.2,0.6,0.460134
0.3,0.1,0.0,0.0,0.4,0.2,0.449731
0.8,0.0,0.0,0.0,0.2,0.0,0.477792
0.2,0.4,0.2,0.0,0.0,0.2,0.510041
0.4,0.2,0.2,0.0,0.2,0.0,0.4849819999999999
0.0,0.0,0.0,0.2,0.0,0.8,0.468601
0.4,0.0,0.2,0.2,0.0,0.2,0.534403
0.2,0.2,0.2,0.0,0.0,0.4,0.542379
0.0,0.2,0.2,0.0,0.2,0.4,0.494222
0.2,0.0,0.2,0.2,0.0,0.4,0.541139
0.6,0.2,0.0,0.0,0.0,0.2,0.5561119999999999
0.6,0.2,0.0,0.2,0.0,0.0,0.5214840000000001
0.0,0.0,0.2,0.4,0.2,0.2,0.466981
0.0,0.0,0.6,0.2,0.2,0.0,0.473581
0.0,0.2,0.2,0.0,0.0,0.6,0.5415760000000001
0.2,0.2,0.0,0.6,0.0,0.0,0.498059
0.0,0.2,0.0,0.2,0.0,0.6,0.571172
0.2,0.6,0.0,0.2,0.0,0.0,0.500909
0.8,0.0,0.2,0.0,0.0,0.0,0.493357
0.4,0.0,0.0,0.2,0.2,0.2,0.425302
0.2,0.0,0.0,0.0,0.6,0.2,0.434532
0.4,0.0,0.2,0.2,0.2,0.0,0.422354
0.0,0.0,0.0,0.8,0.0,0.2,0.44792
0.0,0.0,0.2,0.8,0.0,0.0,0.4560479999999999
0.0,0.2,0.2,0.2,0.4,0.0,0.449438
0.2,0.2,0.4,0.0,0.2,0.0,0.4476699999999999
0.2,0.0,0.0,0.2,0.4,0.2,0.4048219999999999
0.4,0.0,0.2,0.0,0.2,0.2,0.457414
0.1,0.4,0.0,0.0,0.0,0.5,0.505004
0.2,0.7,0.1,0.0,0.0,0.0,0.588403
0.0,0.4,0.0,0.0,0.1,0.5,0.50326
0.0,0.0,0.4,0.4,0.1,0.1,0.470739
0.0,0.3,0.0,0.2,0.4,0.1,0.45491
0.4,0.0,0.0,0.3,0.1,0.2,0.438151
0.3,0.0,0.3,0.2,0.2,0.0,0.431746
0.0,0.0,0.4,0.0,0.5,0.1,0.4673029999999999
0.6,0.3,0.0,0.0,0.0,0.1,0.533817
0.4,0.0,0.0,0.6,0.0,0.0,0.472479
0.0,0.3,0.4,0.2,0.1,0.0,0.470977
0.0,0.1,0.7,0.0,0.0,0.2,0.5412680000000001
0.0,0.1,0.1,0.1,0.0,0.7,0.552145
0.5,0.1,0.1,0.3,0.0,0.0,0.490778
0.0,0.2,0.3,0.5,0.0,0.0,0.448887
0.5,0.2,0.3,0.0,0.0,0.0,0.498116
0.4,0.1,0.0,0.0,0.3,0.2,0.436788
0.1,0.2,0.2,0.5,0.0,0.0,0.468876
0.5,0.1,0.1,0.0,0.0,0.3,0.531017
0.4,0.0,0.0,0.0,0.6,0.0,0.432906
0.1,0.0,0.0,0.4,0.3,0.2,0.397848
0.2,0.0,0.0,0.3,0.0,0.5,0.41139
0.3,0.1,0.2,0.0,0.0,0.4,0.517985
0.6,0.1,0.1,0.0,0.2,0.0,0.476009
0.4,0.1,0.2,0.0,0.3,0.0,0.4561989999999999
0.5,0.0,0.1,0.3,0.0,0.1,0.483864
0.3,0.1,0.4,0.0,0.0,0.2,0.515764
0.1,0.0,0.4,0.0,0.2,0.3,0.486971
0.1,0.5,0.3,0.1,0.0,0.0,0.480199
0.0,0.1,0.0,0.5,0.2,0.2,0.429509
0.2,0.0,0.5,0.2,0.1,0.0,0.463384
0.1,0.0,0.5,0.0,0.3,0.1,0.471526
0.5,0.0,0.0,0.0,0.4,0.1,0.444192
0.0,0.6,0.3,0.0,0.0,0.1,0.540816
0.0,0.4,0.5,0.0,0.1,0.0,0.496604
0.0,0.5,0.1,0.4,0.0,0.0,0.479072
0.2,0.0,0.0,0.4,0.0,0.4,0.440171
0.0,0.0,0.8,0.2,0.0,0.0,0.46161
0.0,0.0,0.2,0.0,0.8,0.0,0.460906
0.2,0.0,0.0,0.0,0.8,0.0,0.445774
0.2,0.0,0.2,0.2,0.4,0.0,0.4227479999999999
0.0,0.6,0.0,0.0,0.2,0.2,0.491079
0.8,0.0,0.0,0.0,0.0,0.2,0.51722
0.0,0.4,0.0,0.2,0.2,0.2,0.494727
0.2,0.0,0.0,0.0,0.0,0.8,0.545829
0.0,0.4,0.2,0.0,0.2,0.2,0.498167
0.0,0.2,0.0,0.6,0.0,0.2,0.4858479999999999
0.0,0.0,0.6,0.2,0.0,0.2,0.479691
0.2,0.2,0.2,0.4,0.0,0.0,0.482055
0.2,0.2,0.0,0.0,0.2,0.4,0.497774
0.0,0.2,0.0,0.2,0.2,0.4,0.490688
0.8,0.2,0.0,0.0,0.0,0.0,0.5443520000000001
0.2,0.0,0.6,0.0,0.2,0.0,0.46889
0.0,0.2,0.0,0.0,0.8,0.0,0.483072
0.2,0.4,0.2,0.0,0.2,0.0,0.482052
0.2,0.4,0.2,0.2,0.0,0.0,0.5404720000000001
0.6,0.0,0.2,0.0,0.0,0.2,0.5052439999999999
0.2,0.0,0.2,0.0,0.0,0.6,0.496011
0.0,0.0,0.2,0.0,0.2,0.6,0.460456
0.4,0.2,0.0,0.2,0.0,0.2,0.508366
0.2,0.2,0.0,0.2,0.0,0.4,0.50921
0.2,0.2,0.0,0.4,0.2,0.0,0.429666
0.0,0.0,0.0,1.0,0.0,0.0,0.46525
0.5,0.3,0.1,0.1,0.0,0.0,0.541376
0.3,0.2,0.0,0.0,0.2,0.3,0.49256
0.0,0.0,0.5,0.4,0.0,0.1,0.50272
0.6,0.0,0.0,0.1,0.0,0.3,0.51155
0.0,0.1,0.0,0.7,0.0,0.2,0.46168
0.0,0.0,0.7,0.2,0.0,0.1,0.48266
0.1,0.4,0.0,0.3,0.0,0.2,0.549325
0.4,0.4,0.2,0.0,0.0,0.0,0.539929
0.0,0.2,0.0,0.5,0.1,0.2,0.466593
0.3,0.4,0.0,0.0,0.2,0.1,0.48084
0.0,0.0,0.1,0.4,0.0,0.5,0.481674
0.4,0.4,0.0,0.0,0.2,0.0,0.5079020000000001
